#station_id r_mc scin_hg_tot_sig wcd_lg_tot_sig scin_hg_em_sig scin_hg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5048 382.542 94290 73875 79209 10172 57348 16170
5040 369.774 111385 90810 99597 10719 70242 19780
5048 382.542 115098 80540 107572 8738 64924 15200
5040 369.774 111739 88326 101991 8388 71008 16589
5048 382.542 104883 77994 92898 10412 63573 13603
5040 369.774 88828 73622 79235 8048 56058 16987
5048 382.542 87934 68046 70765 13141 50592 16869
5040 369.774 119520 82142 110996 9902 64644 16841
5048 382.542 97528 78767 86824 10262 62825 15326
5040 369.774 123213 92171 108908 11360 73076 18193
5048 382.542 108214 88122 88438 12173 65758 21553
5040 369.774 113259 77559 102257 8074 63927 12869
5048 382.542 96126 71182 88584 6427 57609 12953
5040 369.774 119226 94438 108844 12131 74682 19372
5048 382.542 97851 83561 84693 12425 64163 18532
5040 369.774 109780 84088 96095 9727 65700 17613
5048 382.542 89518 76580 77076 11553 58528 17767
5040 369.774 112351 79113 104446 10214 65851 12880
5048 382.542 87030 63011 80991 4504 55185 7433
5040 369.774 113110 92522 99650 10901 74617 17110
5048 382.542 111468 83246 95441 8925 65057 17515
5040 369.774 117398 83630 110500 6453 70413 12682
5048 382.542 96745 77511 88168 7662 64690 12351
5040 369.774 101234 77537 92436 6096 63663 13460
5048 382.542 88204 67164 78598 8006 53692 13223
5040 369.774 113999 85428 106411 10431 65493 19265
5048 382.542 95516 75898 86367 7927 60986 14356
5040 369.774 111997 85515 93534 13053 67349 17772
5048 382.542 93925 73368 81118 13046 54728 17928
5040 369.774 134269 99863 116578 12930 77848 21040
5048 382.542 121561 83717 109590 11113 65574 17745
5040 369.774 96099 88375 83048 10459 67659 20115
5048 382.542 98850 74626 86862 8739 58443 15227
5048 382.542 124015 78814 108972 7852 61757 16801
5040 369.774 117782 92776 106710 8162 71116 20705
5040 369.774 92684 83921 80647 10563 62139 21299
5048 382.542 87193 68292 73694 9586 49743 17940
5040 369.774 117605 90978 107994 13433 70264 20283
5048 382.542 94834 78062 83969 10367 60415 16907
5040 369.774 109171 90252 100232 10689 72685 17073
5048 382.542 91837 77846 81153 9908 61593 15631
5040 369.774 95910 77200 92096 7569 59420 17265
5048 382.542 81837 68760 71543 10291 52444 16135
5040 369.774 135672 91042 119139 13248 68623 21624
5048 382.542 103657 77681 94338 8164 62897 13973
5040 369.774 117716 82691 106711 12044 65572 16419
5048 382.542 100321 71623 93747 8363 57552 13419
5048 382.542 106765 73079 91556 8371 59536 13148
5040 369.774 118460 83361 109250 9915 68212 14691
5040 369.774 108342 86766 93975 11567 69398 17264
5048 382.542 99376 74195 89260 8840 58465 14999
5040 369.774 98038 78908 85751 8954 61991 16371
5048 382.542 86400 75926 70917 12652 55160 20160

