#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 199.383 2278 207066 2151 112 184792 27975
5048 242.745 1298 128664 1139 71 106880 21887
5040 199.383 1833 196104 1699 79 169995 27492
5048 242.745 910 117614 845 45 100503 17291
5040 199.383 2370 217932 2237 47 206674 21513
5048 242.745 1216 129335 1112 81 110320 19371
5040 199.383 2127 215992 1969 76 203343 22769
5048 242.745 1227 128360 1097 40 111329 16687
5040 199.383 1975 196792 1870 91 178300 20328
5048 242.745 1159 119574 1038 89 100691 18453
5040 199.383 1610 184366 1497 65 161955 23192
5048 242.745 1031 109800 891 52 89085 20080
5040 199.383 1555 168775 1424 72 145195 23069
5048 242.745 932 102620 824 67 85108 17233
5040 199.383 1802 186355 1649 62 165260 21869
5048 242.745 990 108001 947 43 91972 15682
5040 199.383 1776 200282 1642 95 176249 26408
5048 242.745 918 106580 800 71 89188 16861
5040 199.383 1885 196181 1739 76 174707 23052
5048 242.745 1033 121496 974 55 101685 19386
#station_id r_mc scin_lg_tot_sig wcd_lg_tot_sig scin_lg_em_sig scin_lg_mu_sig wcd_lg_em_sig wcd_lg_mu_sig
5040 199.383 1796 197519 1667 111 168207 29719
5048 242.745 1060 119797 967 64 98049 21237
5040 199.383 2989 256796 2845 61 269326 24379
5048 242.745 1662 176032 1503 47 153440 21860
5040 199.383 1318 165325 1211 56 142401 22487
5048 242.745 961 99028 812 45 79549 18882
5040 199.383 1502 181108 1370 100 152438 28554
5048 242.745 980 108742 892 56 88424 19921
5040 199.383 1452 167631 1322 95 142398 24706
5048 242.745 897 108705 772 58 90162 18304
5040 199.383 2075 198138 1921 78 178121 21625
5048 242.745 1084 105244 989 47 90467 14620
5040 199.383 1806 193396 1719 75 169113 25597
5048 242.745 1130 120169 1011 98 103002 16983
5040 199.383 1929 177603 1740 90 152593 24760
5048 242.745 963 107848 863 41 91952 15644
5040 199.383 1535 166374 1422 62 142856 23342
5048 242.745 973 99950 854 45 80683 18703
5040 199.383 1914 193454 1795 29 173542 20814
5048 242.745 1105 116467 1005 35 98762 17045
5040 199.383 1577 179025 1449 78 161750 17908
5048 242.745 1010 102514 943 18 89868 12249
5040 199.383 1643 172559 1514 84 146845 25376
5048 242.745 830 100898 749 53 80512 19699
5040 199.383 1500 165013 1372 58 139861 24658
5048 242.745 897 93559 796 74 73469 19390
5040 199.383 1781 195977 1673 48 178969 19243
5048 242.745 1082 119494 1047 50 103263 15431
5040 199.383 3096 263294 2991 78 279297 28536
5048 242.745 1605 167811 1484 64 146984 20307
5040 199.383 1789 185501 1627 71 166152 18775
5048 242.745 891 106250 862 44 91713 14197
5040 199.383 2431 232442 2317 95 221595 31074
5048 242.745 1333 134811 1174 71 113373 20951
5040 199.383 2464 230194 2306 93 221576 26372
5048 242.745 1467 141036 1348 55 120985 19465
5040 199.383 1962 169634 1861 58 147597 21500
5048 242.745 966 100544 913 42 85933 14208
5040 199.383 2275 216239 2126 90 195551 28511
5048 242.745 1101 121347 982 63 101388 19378
5040 199.383 2311 233134 2134 89 225741 27144
5048 242.745 1499 148265 1403 49 128760 19264
5048 242.745 839 96554 716 39 78462 17740
5040 199.383 1275 156437 1111 71 130770 25762
5040 199.383 2034 208098 1846 99 184182 27920
5048 242.745 1120 124081 975 61 100396 22720
5040 199.383 2372 235206 2304 50 233324 19648
5048 242.745 1429 140785 1359 37 125982 13888
5040 199.383 2357 226686 2128 63 220511 22825
5048 242.745 1334 136331 1252 48 117771 17913
5040 199.383 2623 235022 2524 83 227322 26678
5048 242.745 1462 141548 1339 70 121913 19595
5040 199.383 2551 220634 2391 78 209091 23706
5048 242.745 1320 133008 1211 34 115379 17448
5040 199.383 1608 175446 1497 49 153877 21208
5048 242.745 876 106422 786 23 89995 16189
5040 199.383 1920 192730 1782 71 173257 21037
5048 242.745 1131 109089 1002 37 96594 11668
5040 199.383 2284 220926 2168 47 208470 23569
5048 242.745 1368 146575 1237 57 129703 16595
5040 199.383 1686 204034 1601 51 184567 24604
5048 242.745 1082 120106 974 53 99905 20056
5040 199.383 2313 219629 2169 81 205578 25001
5048 242.745 1184 128862 1014 37 110754 17316
5048 242.745 1610 153092 1532 37 138125 14483
5040 199.383 6082 344249 5645 135 513654 41916
5040 199.383 1845 181867 1682 95 156039 26373
5048 242.745 1005 107756 954 51 89721 17523
5040 199.383 2423 234887 2267 67 227965 25661
5048 242.745 1258 141258 1175 46 122675 18006
5040 199.383 1792 193593 1697 56 174604 21113
5048 242.745 877 111197 795 53 95531 15219
5040 199.383 1402 161014 1263 62 138697 21792
5048 242.745 700 82786 633 32 65832 16551
